ts_code,trade_date,year_month,open,close,high,low,vol,amount,first_day,last_day,monthly_return
600054.SH,20000101,200001,11.2,11.75,12.46,10.8,240385.0,278668.32999999996,20000104,20000128,0.0
600054.SH,20000201,200002,11.79,11.02,13.2,10.92,446253.0,522013.24600000004,20000214,20000229,-0.062127659574468086
600054.SH,20000301,200003,11.05,13.98,14.55,11.02,974804.0,1251621.704,20000301,20000331,0.2686025408348458
600054.SH,20000401,200004,14.0,13.26,14.33,12.7,272781.0,370957.347,20000403,20000428,-0.05150214592274682
600054.SH,20000501,200005,13.58,13.1,14.0,12.12,113293.0,148529.991,20000508,20000531,-0.012066365007541435
600054.SH,20000601,200006,13.2,13.22,13.59,12.75,121365.0,159924.642,20000601,20000630,0.009160305343511421
600054.SH,20000701,200007,13.19,13.54,13.96,12.91,132159.0,178411.176,20000703,20000731,0.024205748865355314
600054.SH,20000801,200008,13.57,13.14,14.28,13.1,204893.0,282262.86399999994,20000801,20000831,-0.02954209748892156
600054.SH,20000901,200009,13.1,12.85,13.25,12.4,48234.2,61840.520000000004,20000901,20000929,-0.02207001522070018
600054.SH,20001001,200010,12.84,12.53,12.84,12.02,31626.0,39279.81,20001009,20001031,-0.024902723735408583
600054.SH,20001101,200011,12.5,14.93,15.79,12.33,363735.62999999995,526362.4210000001,20001101,20001130,0.191540303272147
600054.SH,20001201,200012,14.87,14.58,15.05,14.09,133550.6,195940.11599999998,20001201,20001229,-0.023442732752846585
600054.SH,20010101,200101,14.8,14.96,16.62,14.51,194027.06000000003,303201.38,20010102,20010119,0.026063100137174278
600054.SH,20010201,200102,14.98,13.63,15.1,12.75,71255.57,98658.39199999999,20010205,20010228,-0.08890374331550799
600054.SH,20010301,200103,13.63,14.15,14.38,13.3,76372.7,106216.91,20010301,20010330,0.03815113719735863
600054.SH,20010401,200104,14.15,15.1,15.3,14.0,179931.15,265417.522,20010402,20010430,0.06713780918727918
600054.SH,20010501,200105,15.1,15.18,15.63,14.5,137852.16,208356.619,20010508,20010531,0.005298013245033095
600054.SH,20010601,200106,15.2,15.2,16.03,14.88,166644.22999999998,259048.401,20010601,20010629,0.0013175230566535578
600054.SH,20010701,200107,15.18,14.05,16.39,13.85,164611.27000000002,256271.297,20010702,20010731,-0.07565789473684204
600054.SH,20010801,200108,14.1,13.52,14.66,13.25,53607.62,75873.64700000001,20010801,20010831,-0.037722419928825746
600054.SH,20010901,200109,13.53,13.07,13.85,12.95,29803.48,39971.973,20010903,20010928,-0.03328402366863903
600054.SH,20011001,200110,13.08,11.55,13.28,10.13,38109.58,44371.777,20011008,20011031,-0.11629686304514153
600054.SH,20011101,200111,11.64,12.34,12.39,10.4,43846.34999999999,50953.590000000004,20011101,20011130,0.06839826839826824
600054.SH,20011201,200112,12.42,11.59,12.77,11.22,36103.22,43714.598,20011203,20011231,-0.060777957860615905
600054.SH,20020101,200201,11.61,10.42,11.64,9.05,35831.91,36514.778000000006,20020104,20020131,-0.10094909404659191
600054.SH,20020201,200202,10.42,10.59,10.85,10.12,22845.500000000004,23904.093999999997,20020201,20020228,0.016314779270633295
600054.SH,20020301,200203,10.55,11.53,12.7,10.2,114270.57999999999,134240.646,20020301,20020329,0.08876298394711979
600054.SH,20020401,200204,11.5,12.49,13.05,11.4,119327.44,148149.207,20020401,20020430,0.0832610581092803
600054.SH,20020501,200205,12.48,10.67,12.58,10.67,43316.72,49584.166000000005,20020508,20020531,-0.14571657325860687
600054.SH,20020601,200206,10.64,11.59,12.07,10.13,62652.17,71733.649,20020603,20020628,0.08622305529522034
600054.SH,20020701,200207,11.6,11.28,12.18,11.24,51055.79000000001,59882.06099999999,20020701,20020731,-0.026747195858498718
600054.SH,20020801,200208,11.28,11.67,12.0,11.14,52785.88,61833.954999999994,20020801,20020830,0.034574468085106336
600054.SH,20020901,200209,11.6,11.06,12.38,11.01,133255.05,159175.34300000002,20020902,20020927,-0.05227077977720651
600054.SH,20021001,200210,11.01,10.5,11.01,10.28,24291.12,25624.176,20021008,20021031,-0.05063291139240511
600054.SH,20021101,200211,10.46,9.46,10.85,8.92,28676.880000000005,28256.919,20021101,20021129,-0.09904761904761894
600054.SH,20021201,200212,9.45,9.16,9.68,8.86,40596.59,38223.986,20021202,20021231,-0.031712473572938715
600054.SH,20030101,200301,9.16,10.04,10.26,8.85,73363.06999999999,71424.65299999999,20030102,20030129,0.09606986899563297
600054.SH,20030201,200302,10.04,9.98,10.25,9.75,22557.3,22548.554,20030210,20030228,-0.005976095617529764
600054.SH,20030301,200303,9.95,9.64,10.12,9.21,21499.100000000002,20664.989,20030303,20030331,-0.034068136272545124
600054.SH,20030401,200304,9.66,8.46,10.18,8.03,122362.54,114002.76699999999,20030401,20030430,-0.12240663900414939
600054.SH,20030501,200305,8.53,8.65,8.75,7.58,69649.51000000001,57153.484,20030512,20030530,0.022458628841607542
600054.SH,20030601,200306,8.75,8.35,9.08,8.35,50366.67,44139.199,20030602,20030630,-0.034682080924855585
600054.SH,20030701,200307,8.36,8.0,8.42,7.82,16237.589999999998,13297.704000000002,20030701,20030731,-0.041916167664670656
600054.SH,20030801,200308,7.98,8.28,8.63,7.85,21676.46,17764.243000000002,20030801,20030829,0.03499999999999992
600054.SH,20030901,200309,8.28,7.86,9.3,7.8,100473.14000000001,87621.822,20030901,20030930,-0.05072463768115931
600054.SH,20031001,200310,8.0,6.44,8.0,6.21,34522.67,24851.386,20031008,20031031,-0.1806615776081425
600054.SH,20031101,200311,6.44,6.63,7.02,5.9,45371.75,29488.97,20031103,20031128,0.029503105590062084
600054.SH,20031201,200312,6.63,6.29,7.29,6.05,53364.520000000004,35600.625,20031201,20031231,-0.05128205128205121
600054.SH,20040101,200401,6.29,6.9,6.96,6.18,43274.15,28459.418999999998,20040102,20040130,0.09697933227345001
600054.SH,20040201,200402,6.98,7.67,8.36,6.71,138629.61000000002,104696.684,20040202,20040227,0.1115942028985506
600054.SH,20040301,200403,7.67,8.09,8.14,7.28,73776.70000000001,56900.689000000006,20040301,20040331,0.054758800521512274
600054.SH,20040401,200404,8.1,7.16,8.87,7.1,140968.82,114228.079,20040401,20040430,-0.11495673671199003
600054.SH,20040501,200405,7.26,6.9,7.37,6.8,17377.14,12062.087,20040510,20040531,-0.03631284916201116
600054.SH,20040601,200406,7.2,6.95,7.28,6.35,26230.050000000003,17667.377,20040601,20040630,0.007246376811594235
600054.SH,20040701,200407,6.95,6.62,7.12,6.55,19257.91,13221.561000000002,20040701,20040730,-0.0474820143884892
600054.SH,20040801,200408,6.65,6.78,7.0,6.4,21803.81,14686.535999999998,20040802,20040831,0.024169184290030232
600054.SH,20040901,200409,6.7,6.93,7.87,6.46,98349.75,71004.344,20040901,20040930,0.022123893805309658
600054.SH,20041001,200410,6.95,6.5,7.27,6.08,49349.270000000004,32843.046,20041008,20041029,-0.06204906204906202
600054.SH,20041101,200411,6.68,7.12,7.45,6.34,82438.54000000002,58456.31999999999,20041101,20041130,0.0953846153846154
600054.SH,20041201,200412,7.15,7.53,7.75,6.86,85229.8,63149.551999999996,20041201,20041231,0.057584269662921406
600054.SH,20050101,200501,7.53,7.4,8.38,7.23,85259.04000000001,66408.005,20050104,20050131,-0.01726427622841964
600054.SH,20050201,200502,7.41,8.47,8.63,7.36,47189.95,38399.928,20050201,20050228,0.14459459459459456
600054.SH,20050301,200503,8.46,9.43,10.22,8.18,216395.18000000002,200219.015,20050301,20050331,0.11334120425029504
600054.SH,20050401,200504,9.8,8.8,10.82,8.35,298523.59,290970.38999999996,20050401,20050429,-0.06680805938494161
600054.SH,20050501,200505,8.75,7.98,8.76,7.66,50189.34,40985.202000000005,20050509,20050531,-0.09318181818181825
600054.SH,20050601,200506,8.05,7.88,8.46,6.48,80847.25000000001,60506.888,20050601,20050630,-0.01253132832080206
600054.SH,20050701,200507,7.79,7.96,8.38,7.3,40267.42,31713.851999999995,20050701,20050729,0.010152284263959421
