ts_code,trade_date,year_month,open,close,high,low,vol,amount,first_day,last_day,monthly_return
002054.SZ,20060701,200607,11.71,9.87,12.1,9.8,439256.15,485085.0389,20060725,20060731,0.0
002054.SZ,20060801,200608,9.87,10.15,10.38,8.71,530413.4,504179.9538,20060801,20060831,0.028368794326241176
002054.SZ,20060901,200609,10.1,9.47,10.15,9.2,247516.27,241828.45819999996,20060901,20060929,-0.06699507389162562
002054.SZ,20061001,200610,9.55,9.41,9.79,8.91,203382.18000000002,190907.4919,20061009,20061031,-0.006335797254487963
002054.SZ,20061101,200611,9.4,9.36,9.44,8.83,203380.38000000003,186538.88640000005,20061101,20061130,-0.005313496280552665
002054.SZ,20061201,200612,9.39,9.13,9.79,9.01,300116.43,282741.0689,20061201,20061229,-0.024572649572649485
002054.SZ,20070101,200701,9.16,11.41,11.89,9.1,499683.05,526558.5465999999,20070104,20070131,0.24972617743702075
002054.SZ,20070201,200702,11.45,11.77,12.89,10.91,282557.62,335747.32619999995,20070201,20070228,0.03155127081507447
002054.SZ,20070301,200703,11.51,13.24,13.78,10.99,352376.64999999997,430684.0174,20070301,20070330,0.12489379779099408
002054.SZ,20070401,200704,13.4,14.7,15.7,13.18,432754.56000000006,626647.3996,20070402,20070430,0.11027190332326287
002054.SZ,20070501,200705,15.1,16.82,20.17,14.5,541079.1499999999,923665.8633999999,20070508,20070531,0.14421768707482996
002054.SZ,20070601,200706,16.83,17.83,21.4,14.1,449200.2,808936.2103999997,20070601,20070629,0.06004756242568354
002054.SZ,20070701,200707,17.99,21.98,22.9,16.5,291356.34,580398.4748000001,20070702,20070731,0.2327537857543467
002054.SZ,20070801,200708,22.0,22.0,23.49,19.95,286626.69999999995,623390.8901999999,20070801,20070831,0.0009099181073703999
002054.SZ,20070901,200709,22.4,23.55,24.99,21.3,348983.76999999996,804933.7904000002,20070903,20070928,0.07045454545454555
002054.SZ,20071001,200710,23.85,21.96,28.5,19.7,340558.25,837473.9908,20071008,20071031,-0.06751592356687897
002054.SZ,20071101,200711,22.28,20.4,22.28,17.55,223313.03999999998,439746.8528,20071101,20071130,-0.0710382513661203
002054.SZ,20071201,200712,20.38,24.88,25.5,20.01,389653.81999999995,897214.6999000001,20071203,20071228,0.219607843137255
002054.SZ,20080101,200801,25.1,23.08,27.48,21.4,540351.27,1340061.1926000002,20080102,20080131,-0.072347266881029
002054.SZ,20080201,200802,22.6,22.79,25.25,20.81,149219.01,352641.52890000003,20080201,20080229,-0.01256499133448874
002054.SZ,20080301,200803,22.68,16.49,25.0,15.8,229045.56000000003,474430.5748,20080303,20080331,-0.27643703378674866
002054.SZ,20080401,200804,16.21,17.5,17.65,12.3,225760.91,339456.36039999995,20080401,20080430,0.06124924196482717
002054.SZ,20080501,200805,17.98,18.2,19.8,16.49,153603.09,281276.8358,20080506,20080530,0.040000000000000036
002054.SZ,20080601,200806,18.2,15.0,18.46,14.32,56749.04,90809.4637,20080602,20080630,-0.17582417582417575
002054.SZ,20080701,200807,14.69,14.53,17.29,14.41,112654.48999999999,176724.6429,20080701,20080731,-0.031333333333333324
002054.SZ,20080801,200808,14.5,10.55,14.86,9.72,132834.12999999998,148995.37079999998,20080801,20080829,-0.2739160357880247
002054.SZ,20080901,200809,10.52,9.02,10.52,8.0,119796.26999999999,107907.3412,20080901,20080926,-0.1450236966824645
002054.SZ,20081001,200810,8.75,6.42,8.75,5.95,178584.33,119100.2454,20081006,20081031,-0.2882483370288248
002054.SZ,20081101,200811,6.28,7.18,7.8,5.66,389563.26999999996,275074.7377,20081103,20081128,0.11838006230529596
002054.SZ,20081201,200812,7.15,8.05,9.56,7.1,552485.68,477313.9417,20081201,20081231,0.12116991643454056
002054.SZ,20090101,200901,8.19,10.15,10.66,8.12,429670.59,413245.7797,20090105,20090123,0.26086956521739113
002054.SZ,20090201,200902,10.22,10.8,13.9,10.15,759698.63,915101.0895000001,20090202,20090227,0.0640394088669951
002054.SZ,20090301,200903,10.63,13.75,13.75,10.51,622906.8,775017.4165,20090302,20090331,0.27314814814814814
002054.SZ,20090401,200904,13.81,14.73,16.97,13.5,711919.4600000002,1049594.272,20090401,20090430,0.07127272727272738
002054.SZ,20090501,200905,14.85,14.09,15.35,13.44,345770.2,500072.41109999997,20090504,20090527,-0.043448744059742084
002054.SZ,20090601,200906,14.19,15.2,16.0,13.6,548966.03,819582.3175,20090601,20090630,0.07877927608232782
002054.SZ,20090701,200907,15.2,21.56,22.39,14.96,989673.9000000001,1851147.2634,20090701,20090731,0.418421052631579
002054.SZ,20090801,200908,21.59,23.31,26.4,18.83,896870.1100000001,2100809.9838,20090803,20090831,0.08116883116883122
002054.SZ,20090901,200909,23.31,15.14,32.81,14.41,1645067.6499999997,3666171.4156,20090901,20090930,-0.3504933504933504
002054.SZ,20091001,200910,15.33,16.31,18.0,15.15,1118806.7000000002,1865206.4023000002,20091009,20091030,0.07727873183619538
002054.SZ,20091101,200911,15.98,22.08,22.3,15.78,1901244.9000000004,3650165.6692999997,20091102,20091130,0.35377069282648677
002054.SZ,20091201,200912,22.09,21.59,22.88,18.45,1222014.45,2602204.0264999997,20091201,20091231,-0.022192028985507206
002054.SZ,20100101,201001,21.81,20.12,23.0,19.7,851221.2500000001,1843522.6368000002,20100104,20100129,-0.06808707735062525
