ts_code,trade_date,year_month,open,close,high,low,vol,amount,first_day,last_day,monthly_return
600854.SH,20000101,200001,19.2,20.95,23.2,19.0,137919.0,292189.003,20000104,20000128,0.0
600854.SH,20000201,200002,21.58,22.46,24.28,20.3,172586.0,378934.27499999997,20000214,20000229,0.07207637231503594
600854.SH,20000301,200003,22.56,23.71,25.0,20.9,449741.0,1036306.592,20000301,20000331,0.055654496883348115
600854.SH,20000401,200004,23.7,22.77,24.36,22.18,167011.0,387479.774,20000403,20000428,-0.039645719105862565
600854.SH,20000501,200005,22.88,22.1,23.6,20.51,88783.0,194595.121,20000508,20000531,-0.02942468159859457
600854.SH,20000601,200006,22.39,23.62,24.26,21.8,159799.0,366419.614,20000601,20000630,0.0687782805429864
600854.SH,20000701,200007,23.62,22.43,24.0,22.21,113795.0,262926.781,20000703,20000731,-0.05038103302286201
600854.SH,20000801,200008,22.4,25.73,27.9,22.1,469618.0,1194996.25,20000801,20000831,0.14712438698172092
600854.SH,20000901,200009,25.68,23.15,26.42,22.71,134852.9,327374.315,20000901,20000929,-0.1002720559657988
600854.SH,20001001,200010,23.84,23.99,24.75,22.1,80208.0,188997.49000000002,20001009,20001031,0.036285097192224613
600854.SH,20001101,200011,23.8,25.61,27.75,23.8,319404.71,834183.5180000002,20001101,20001130,0.06752813672363489
600854.SH,20001201,200012,25.7,24.5,26.0,24.05,66552.51,165098.97499999998,20001201,20001229,-0.04334244435767276
600854.SH,20010101,200101,24.52,23.1,24.95,22.4,74518.14,175448.17700000003,20010102,20010119,-0.05714285714285705
600854.SH,20010201,200102,23.28,25.06,26.02,22.5,163016.3,402767.319,20010205,20010228,0.08484848484848473
600854.SH,20010301,200103,25.0,26.5,26.63,24.63,178678.5,459245.6610000001,20010301,20010330,0.05746209098164412
600854.SH,20010401,200104,26.68,24.58,26.78,24.26,124663.62000000001,317041.12500000006,20010402,20010430,-0.07245283018867932
600854.SH,20010501,200105,24.6,24.85,25.82,24.4,108710.16,272918.2,20010508,20010531,0.010984540276647747
600854.SH,20010601,200106,24.85,25.28,25.57,24.0,69158.81999999999,173324.89299999995,20010601,20010629,0.017303822937625668
600854.SH,20010701,200107,25.5,20.29,26.5,20.0,244689.19999999998,579343.07,20010702,20010731,-0.19738924050632922
600854.SH,20010801,200108,19.8,12.75,20.89,12.28,195148.62,346968.977,20010808,20010831,-0.37161163134549036
600854.SH,20010901,200109,12.75,11.69,13.15,11.35,131677.28,159131.81100000002,20010903,20010928,-0.08313725490196078
600854.SH,20011001,200110,11.4,11.78,12.42,10.4,184764.52,216565.908,20011009,20011031,0.007698887938408783
600854.SH,20011101,200111,11.78,11.7,11.95,10.51,122572.91000000002,139395.195,20011101,20011130,-0.006791171477079749
600854.SH,20011201,200112,11.76,12.83,13.39,11.7,475919.83999999997,607669.7039999999,20011203,20011231,0.09658119658119668
600854.SH,20020101,200201,12.8,11.75,12.8,10.61,212019.19,242531.784,20020104,20020131,-0.08417770849571315
600854.SH,20020201,200202,11.78,11.83,12.23,11.58,117758.45999999999,140133.392,20020201,20020228,0.006808510638297793
600854.SH,20020301,200203,11.77,11.69,12.95,11.58,302922.42,376387.7130000001,20020301,20020329,-0.01183431952662728
600854.SH,20020401,200204,11.65,11.45,12.23,11.0,140579.50999999998,163676.59299999996,20020401,20020430,-0.020530367835757124
600854.SH,20020501,200205,11.5,10.04,11.68,9.91,114218.65,120670.265,20020508,20020531,-0.12314410480349347
600854.SH,20020601,200206,10.01,11.77,11.95,9.33,293320.33999999997,319765.716,20020603,20020628,0.17231075697211162
600854.SH,20020701,200207,11.87,10.24,11.9,10.19,197398.52000000002,219570.27199999997,20020701,20020731,-0.1299915038232795
600854.SH,20020801,200208,10.16,9.93,10.55,9.86,91897.09000000001,92642.587,20020801,20020830,-0.0302734375
600854.SH,20020901,200209,9.95,9.32,10.04,9.0,191315.02000000002,179750.096,20020902,20020927,-0.061430010070493424
600854.SH,20021001,200210,9.26,9.78,10.29,9.26,384764.77,380277.913,20021008,20021031,0.04935622317596566
600854.SH,20021101,200211,9.78,8.35,10.23,7.65,443478.8500000001,401248.521,20021101,20021129,-0.14621676891615543
600854.SH,20021201,200212,8.3,7.4,8.42,7.37,297428.99,239508.886,20021202,20021231,-0.11377245508982026
600854.SH,20030101,200301,7.4,8.17,8.57,7.1,371135.06,297341.51,20030102,20030129,0.10405405405405399
600854.SH,20030201,200302,8.25,8.25,8.72,8.0,200752.16000000006,167932.03699999998,20030210,20030228,0.009791921664626724
600854.SH,20030301,200303,8.26,7.77,8.36,7.51,114904.06000000001,90794.94200000001,20030303,20030331,-0.05818181818181822
600854.SH,20030401,200304,7.8,7.29,8.8,7.15,415290.89999999997,334529.60299999994,20030401,20030430,-0.061776061776061764
600854.SH,20030501,200305,7.25,7.58,7.66,6.75,193754.08,141294.91700000002,20030512,20030530,0.03978052126200282
600854.SH,20030601,200306,7.6,6.84,7.64,6.83,98062.73999999999,70928.368,20030602,20030630,-0.09762532981530347
600854.SH,20030701,200307,6.85,6.77,7.2,6.68,181493.63,125283.38700000002,20030701,20030731,-0.01023391812865504
600854.SH,20030801,200308,6.75,6.48,7.0,6.39,85442.59,57680.45799999999,20030801,20030829,-0.04283604135893637
600854.SH,20030901,200309,6.51,6.36,6.7,6.26,77391.01000000001,50034.111999999994,20030901,20030930,-0.01851851851851849
600854.SH,20031001,200310,6.35,6.15,6.66,6.0,114087.46,73114.09199999999,20031008,20031031,-0.03301886792452835
600854.SH,20031101,200311,6.15,6.44,6.63,5.99,184332.64999999997,116340.62,20031103,20031128,0.047154471544715415
600854.SH,20031201,200312,6.42,6.15,6.7,6.05,294362.5399999999,188344.707,20031201,20031231,-0.045031055900621175
600854.SH,20040101,200401,6.15,6.43,6.58,6.13,199156.38000000003,126145.724,20040102,20040130,0.04552845528455274
600854.SH,20040201,200402,6.45,6.87,7.46,6.4,625285.85,438737.04800000007,20040202,20040227,0.06842923794712297
600854.SH,20040301,200403,6.88,7.08,7.23,6.72,399913.68000000005,280179.256,20040301,20040331,0.03056768558951961
