ts_code,trade_date,year_month,open,close,high,low,vol,amount,first_day,last_day,monthly_return
000554.SZ,20000101,200001,4.35,4.42,5.02,4.2,495956.0,227559.3149,20000104,20000128,0.0
000554.SZ,20000201,200002,4.43,4.87,5.28,4.43,730117.0,352433.7081,20000214,20000229,0.1018099547511313
000554.SZ,20000301,200003,4.87,5.48,5.58,4.68,1323940.0,672083.9879,20000301,20000331,0.12525667351129366
000554.SZ,20000401,200004,5.5,6.08,6.44,5.2,1748156.0,1036278.7874,20000403,20000428,0.10948905109489049
000554.SZ,20000501,200005,6.1,8.07,8.19,6.1,1686216.0,1207960.7164999999,20000508,20000531,0.32730263157894735
000554.SZ,20000601,200006,8.12,10.88,11.71,7.15,2146892.0,1917979.6038000002,20000601,20000630,0.34820322180916974
000554.SZ,20000701,200007,10.88,10.99,12.85,10.1,1206558.0,1427129.6263000001,20000703,20000731,0.010110294117646967
000554.SZ,20000801,200008,11.0,14.04,15.03,10.99,911370.0,1236752.0491000004,20000801,20000831,0.27752502274795265
000554.SZ,20000901,200009,13.9,15.24,15.63,13.21,583354.16,871129.2187,20000901,20000929,0.08547008547008561
000554.SZ,20001001,200010,15.28,18.71,22.15,14.5,1050525.0,1875021.9005,20001009,20001031,0.22769028871391073
000554.SZ,20001101,200011,18.48,17.22,21.16,15.5,1080800.45,1890316.1019000001,20001101,20001130,-0.07963655799037961
000554.SZ,20001201,200012,17.22,16.96,17.7,16.08,266653.49,446414.0134,20001201,20001228,-0.015098722415795462
000554.SZ,20010101,200101,17.05,17.35,19.9,16.5,538647.14,967610.2464000001,20010102,20010119,0.022995283018867996
000554.SZ,20010201,200102,17.4,17.67,18.13,14.83,317310.53,526431.9319,20010205,20010228,0.018443804034582234
000554.SZ,20010301,200103,17.6,18.89,18.99,17.1,417892.52,747451.6436000001,20010301,20010330,0.06904357668364458
000554.SZ,20010401,200104,18.93,12.26,19.55,12.0,1870692.1800000002,2488713.6147,20010402,20010430,-0.35097935415563797
000554.SZ,20010501,200105,12.25,11.18,12.77,11.0,1964536.9200000002,2352607.6103000003,20010508,20010531,-0.0880913539967374
000554.SZ,20010601,200106,11.18,10.47,11.25,10.0,937919.31,967972.8283999999,20010601,20010629,-0.0635062611806797
000554.SZ,20010701,200107,10.57,10.13,10.57,10.0,321421.23999999993,329602.97390000004,20010702,20010731,-0.03247373447946511
000554.SZ,20010801,200108,10.13,10.93,11.35,10.02,613503.34,657885.5098,20010801,20010831,0.07897334649555754
000554.SZ,20010901,200109,10.93,10.21,11.4,10.01,569107.25,610284.6732999999,20010903,20010928,-0.06587374199451046
000554.SZ,20011001,200110,10.28,7.73,10.4,6.97,893426.82,736748.2451000001,20011008,20011031,-0.24289911851126345
000554.SZ,20011101,200111,7.7,7.81,7.95,7.19,410979.38,312246.076,20011101,20011130,0.010349288486416475
000554.SZ,20011201,200112,7.8,7.89,8.55,7.51,441937.54999999993,355577.02019999997,20011203,20011231,0.010243277848911658
000554.SZ,20020101,200201,7.88,7.64,7.95,7.0,313790.52,233317.9766,20020104,20020131,-0.03168567807351075
000554.SZ,20020201,200202,7.65,7.87,8.28,7.35,243441.18000000002,191581.6721,20020201,20020228,0.030104712041884918
000554.SZ,20020301,200203,7.85,10.59,10.95,7.72,1276555.2799999998,1216943.3499,20020301,20020329,0.3456162642947902
000554.SZ,20020401,200204,10.59,9.98,10.85,9.47,732272.1900000002,736536.3802999998,20020401,20020430,-0.05760151085930121
000554.SZ,20020501,200205,9.96,9.59,10.05,9.18,279607.24999999994,269007.7365,20020508,20020531,-0.039078156312625345
000554.SZ,20020601,200206,9.55,10.06,10.71,9.32,550065.54,545282.9390000001,20020603,20020627,0.049009384775808185
000554.SZ,20020701,200207,10.07,10.17,10.57,10.01,272306.66,278718.62730000005,20020701,20020731,0.010934393638170947
000554.SZ,20020801,200208,10.15,10.65,10.9,10.06,317675.87999999995,329304.6172,20020801,20020830,0.0471976401179941
000554.SZ,20020901,200209,10.7,10.68,10.78,10.18,337852.49999999994,356325.2496,20020902,20020927,0.0028169014084507005
000554.SZ,20021001,200210,10.7,10.38,10.74,10.15,185783.49,194515.57129999998,20021008,20021031,-0.028089887640449285
000554.SZ,20021101,200211,10.33,9.22,10.8,8.19,369213.55000000005,341950.7711,20021101,20021129,-0.11175337186897882
000554.SZ,20021201,200212,9.25,9.49,9.95,8.85,346909.87,321371.7376,20021202,20021231,0.029284164859002093
000554.SZ,20030101,200301,9.47,10.6,10.8,9.06,315881.9799999999,325770.8845,20030102,20030129,0.11696522655426755
000554.SZ,20030201,200302,10.55,12.14,12.68,10.55,491264.19999999995,574342.0454000001,20030210,20030228,0.1452830188679246
000554.SZ,20030301,200303,12.14,11.38,13.07,10.68,594598.63,729203.8675,20030303,20030331,-0.06260296540362431
000554.SZ,20030401,200304,11.38,10.94,11.65,10.29,360489.07999999996,395265.85349999997,20030401,20030430,-0.038664323374341114
000554.SZ,20030501,200305,10.9,10.9,11.12,10.47,145572.69,157150.8395,20030512,20030530,-0.003656307129798808
000554.SZ,20030601,200306,10.95,10.82,11.35,10.62,300290.43,330574.1204,20030602,20030630,-0.007339449541284404
000554.SZ,20030701,200307,10.8,10.63,11.05,10.35,289245.27,311780.33280000003,20030701,20030731,-0.01756007393715342
000554.SZ,20030801,200308,10.61,10.69,10.9,10.4,258243.75,274862.6923,20030801,20030829,0.005644402634054524
000554.SZ,20030901,200309,10.68,10.55,11.1,10.33,254771.52,271562.56309999997,20030901,20030930,-0.013096351730589206
000554.SZ,20031001,200310,10.53,10.27,10.6,10.13,105573.55,109513.67919999998,20031008,20031031,-0.026540284360189625
000554.SZ,20031101,200311,10.25,10.69,10.78,10.08,252732.97999999998,262749.0452,20031103,20031128,0.04089581304771173
000554.SZ,20031201,200312,10.68,10.6,11.05,10.2,151041.96,162801.93959999998,20031201,20031231,-0.008419083255378879
000554.SZ,20040101,200401,10.55,10.7,10.9,10.2,72614.57999999999,76245.5464,20040102,20040130,0.00943396226415083
000554.SZ,20040201,200402,10.7,10.7,11.15,10.0,334472.56999999995,362014.6802,20040202,20040227,0.0
000554.SZ,20040301,200403,10.7,11.25,11.9,10.55,531639.71,598866.1057000001,20040301,20040331,0.05140186915887868
000554.SZ,20040401,200404,11.27,10.75,11.67,10.67,292764.35,328672.8697,20040401,20040430,-0.0444444444444444
000554.SZ,20040501,200405,10.76,11.28,11.35,10.76,340721.38,376769.918,20040510,20040531,0.049302325581395356
000554.SZ,20040601,200406,11.3,11.21,11.58,10.95,447312.26,503483.2999,20040601,20040630,-0.00620567375886516
000554.SZ,20040701,200407,11.2,11.27,11.45,10.91,292233.39999999997,328321.9793,20040701,20040730,0.005352363960749118
000554.SZ,20040801,200408,11.1,10.85,11.37,10.81,241586.43,269703.335,20040802,20040831,-0.037267080745341574
000554.SZ,20040901,200409,10.84,10.67,11.17,10.45,454827.35,491792.8428,20040901,20040930,-0.01658986175115207
000554.SZ,20041001,200410,10.68,10.29,10.68,10.06,147406.38,152884.2444,20041008,20041029,-0.0356138706654171
000554.SZ,20041101,200411,10.35,10.6,10.85,10.33,323155.59,342540.2458000001,20041101,20041130,0.030126336248785357
000554.SZ,20041201,200412,10.62,8.16,10.65,8.16,216253.31,220523.70780000003,20041201,20041231,-0.23018867924528297
000554.SZ,20050101,200501,7.34,3.04,7.34,3.03,3245622.3799999994,1131433.7179,20050106,20050131,-0.6274509803921569
000554.SZ,20050201,200502,3.0,4.07,4.07,2.85,2572890.9899999998,876960.3174999999,20050201,20050228,0.3388157894736843
000554.SZ,20050301,200503,4.1,3.15,4.37,3.06,2999079.0,1151668.3471000001,20050301,20050331,-0.22604422604422614
000554.SZ,20050401,200504,3.18,3.32,3.88,3.06,2225659.85,786293.2627000001,20050401,20050429,0.053968253968254
000554.SZ,20050501,200505,3.33,2.97,3.4,2.84,617322.49,190020.5208,20050509,20050531,-0.10542168674698782
000554.SZ,20050601,200506,2.97,2.82,3.17,2.67,1418046.5,412533.62179999996,20050601,20050630,-0.05050505050505061
000554.SZ,20050701,200507,2.76,2.58,2.82,2.25,1225838.86,305785.2413,20050701,20050729,-0.0851063829787233
000554.SZ,20050801,200508,2.63,3.04,3.18,2.59,2428683.7,712305.4067000002,20050801,20050831,0.17829457364341073
000554.SZ,20050901,200509,3.05,3.25,4.02,3.01,3393604.09,1162586.5439999998,20050901,20050930,0.06907894736842102
000554.SZ,20051001,200510,3.25,3.01,3.4,2.73,1150326.73,366112.94039999996,20051010,20051031,-0.0738461538461539
000554.SZ,20051101,200511,3.01,2.91,3.25,2.85,868694.0099999999,263305.73179999995,20051101,20051130,-0.03322259136212613
000554.SZ,20051201,200512,2.91,2.94,3.01,2.66,623696.32,179494.0445,20051201,20051230,0.010309278350515427
000554.SZ,20060101,200601,2.93,3.33,3.65,2.9,1607050.3199999998,537933.6817000001,20060104,20060125,0.13265306122448983
000554.SZ,20060201,200602,3.33,3.93,4.36,3.33,2682135.1700000004,1044029.8857999999,20060206,20060228,0.18018018018018012
000554.SZ,20060301,200603,3.91,4.05,4.28,3.57,2038404.2300000002,808567.9144999998,20060301,20060331,0.030534351145037997
000554.SZ,20060401,200604,4.0,5.11,5.32,3.95,2549300.68,1196132.0158,20060403,20060428,0.2617283950617286
000554.SZ,20060501,200605,5.1,6.11,6.49,5.06,3046737.55,1744982.2237,20060508,20060531,0.19569471624266144
000554.SZ,20060601,200606,6.06,5.74,6.5,5.07,1610577.5399999998,928326.6235999999,20060601,20060630,-0.060556464811784005
000554.SZ,20060701,200607,5.74,5.34,6.2,5.31,1421289.7899999998,830564.1230000001,20060703,20060731,-0.06968641114982588
000554.SZ,20060801,200608,5.35,5.64,5.79,5.05,987760.99,535669.8148,20060801,20060831,0.05617977528089879
000554.SZ,20060901,200609,5.64,6.04,6.08,5.46,1714971.1900000002,997656.9858999999,20060901,20060929,0.07092198581560294
000554.SZ,20061001,200610,6.01,5.68,6.09,5.47,790522.22,459651.81309999997,20061009,20061031,-0.0596026490066226
000554.SZ,20061101,200611,5.62,5.6,5.76,5.18,705582.75,387669.2336,20061101,20061130,-0.014084507042253502
000554.SZ,20061201,200612,5.6,5.81,5.9,5.6,223203.90000000002,129249.41029999999,20061201,20061205,0.03750000000000009
000554.SZ,20070201,200702,6.1,7.42,7.42,6.1,421018.81,310760.7994,20070212,20070216,0.2771084337349399
000554.SZ,20070301,200703,7.43,8.52,9.3,6.7,2760055.94,2178568.0640000002,20070319,20070330,0.1482479784366577
000554.SZ,20070401,200704,8.53,9.96,11.45,8.35,4505761.109999999,4460304.813399999,20070402,20070430,0.16901408450704247
000554.SZ,20070501,200705,10.35,10.4,12.8,9.58,4531564.540000001,4931281.3471,20070508,20070531,0.04417670682730912
000554.SZ,20070601,200706,10.42,7.85,11.4,7.58,4433986.75,4157679.2750999997,20070601,20070629,-0.2451923076923077
000554.SZ,20070701,200707,7.51,11.41,11.5,7.51,2537960.03,2380899.1895999997,20070702,20070731,0.4535031847133759
000554.SZ,20070801,200708,11.38,13.8,15.18,10.72,4545329.73,6132463.8551,20070801,20070831,0.2094653812445224
