ts_code,trade_date,year_month,open,close,high,low,vol,amount,first_day,last_day,monthly_return
600654.SH,20000101,200001,8.78,10.14,10.79,8.75,850953.0,837372.889,20000104,20000128,0.0
600654.SH,20000201,200002,10.68,10.91,12.05,9.93,1284195.0,1389698.2259999998,20000214,20000229,0.07593688362919138
600654.SH,20000301,200003,11.04,14.0,14.74,9.6,3477329.0,4245494.959,20000301,20000331,0.2832263978001832
600654.SH,20000401,200004,14.02,13.99,15.48,12.1,2329771.0,3228217.186,20000403,20000428,-0.0007142857142856673
600654.SH,20000501,200005,13.9,15.2,16.07,12.64,1611937.0,2325352.7520000003,20000508,20000531,0.0864903502501786
600654.SH,20000601,200006,15.28,13.7,16.18,13.55,1391273.0,2023941.7280000001,20000601,20000630,-0.09868421052631582
600654.SH,20000701,200007,13.6,13.47,14.35,12.95,874282.0,1182282.5210000002,20000703,20000731,-0.01678832116788309
600654.SH,20000801,200008,13.58,14.07,15.28,13.19,1543618.0,2223262.3660000004,20000801,20000831,0.04454342984409787
600654.SH,20000901,200009,14.0,12.16,14.2,11.5,551979.99,716236.994,20000901,20000929,-0.1357498223169865
600654.SH,20001001,200010,12.77,11.92,12.77,11.67,282398.0,342318.836,20001010,20001031,-0.019736842105263164
600654.SH,20001101,200011,11.87,12.32,13.19,11.87,570142.2899999999,722182.894,20001101,20001130,0.033557046979865834
600654.SH,20001201,200012,12.55,13.4,13.92,12.18,655001.0499999999,863573.344,20001201,20001229,0.08766233766233777
600654.SH,20010101,200101,13.4,12.89,14.25,12.5,582563.7099999998,798060.379,20010102,20010119,-0.038059701492537346
600654.SH,20010201,200102,12.89,11.61,12.9,11.36,198755.09,236854.86599999998,20010205,20010228,-0.09930178432893721
600654.SH,20010301,200103,11.6,12.32,12.5,11.58,353655.65,428280.52100000007,20010301,20010330,0.06115417743324736
600654.SH,20010401,200104,12.33,12.47,13.5,12.0,638760.51,809756.2619999999,20010402,20010430,0.012175324675324672
600654.SH,20010501,200105,12.5,12.6,13.28,12.15,458610.53,582892.863,20010508,20010531,0.010425020048115297
600654.SH,20010601,200106,12.5,12.82,13.86,12.5,1064106.09,1414442.6100000003,20010601,20010629,0.01746031746031762
600654.SH,20010701,200107,12.82,10.54,12.95,10.5,272430.43000000005,330145.10800000007,20010702,20010731,-0.17784711388455543
600654.SH,20010801,200108,10.55,9.54,10.96,9.16,246734.87999999998,250602.33199999997,20010801,20010831,-0.09487666034155595
600654.SH,20010901,200109,9.56,8.98,10.08,8.93,140354.54,131272.784,20010903,20010928,-0.05870020964360578
600654.SH,20011001,200110,9.03,8.52,9.15,7.48,203133.19999999998,170775.945,20011008,20011031,-0.051224944320712784
600654.SH,20011101,200111,8.55,9.11,9.18,7.5,309699.43999999994,265437.54099999997,20011101,20011130,0.06924882629107976
600654.SH,20011201,200112,9.11,8.4,9.61,8.2,350561.12,319153.14,20011203,20011231,-0.07793633369923147
600654.SH,20020101,200201,8.4,7.54,8.53,6.6,209754.3,154290.24500000002,20020104,20020131,-0.10238095238095246
600654.SH,20020201,200202,7.56,7.8,7.99,7.29,134930.41,103887.026,20020201,20020228,0.034482758620689724
600654.SH,20020301,200203,7.76,8.09,9.5,7.52,645434.97,561003.745,20020301,20020329,0.03717948717948727
600654.SH,20020401,200204,8.09,8.72,9.08,7.98,362903.4,312061.472,20020401,20020430,0.07787391841779989
600654.SH,20020501,200205,8.7,7.67,8.72,7.66,136147.57,110903.00899999999,20020508,20020531,-0.12041284403669728
600654.SH,20020601,200206,7.58,8.95,9.14,7.25,351553.6000000001,300546.117,20020603,20020627,0.16688396349413281
600654.SH,20020701,200207,9.01,8.4,9.1,8.39,238790.23000000007,208092.595,20020701,20020731,-0.06145251396648033
600654.SH,20020801,200208,8.37,7.42,8.57,7.4,110727.36,86772.70099999997,20020801,20020830,-0.1166666666666667
600654.SH,20020901,200209,7.45,6.9,7.48,6.86,66594.71,47498.897,20020902,20020927,-0.07008086253369261
600654.SH,20021001,200210,6.85,6.59,6.96,6.5,86178.92,58333.69699999999,20021008,20021031,-0.04492753623188417
600654.SH,20021101,200211,6.58,6.27,6.95,5.5,258219.66999999998,157717.097,20021101,20021129,-0.04855842185128989
600654.SH,20021201,200212,6.25,5.67,6.55,5.66,283484.1,175039.16999999998,20021202,20021231,-0.09569377990430616
600654.SH,20030101,200301,5.64,6.33,6.63,5.55,319465.79000000004,198145.69999999998,20030102,20030129,0.1164021164021165
600654.SH,20030201,200302,6.34,6.46,6.78,6.18,370517.91000000003,242417.234,20030210,20030228,0.020537124802527673
600654.SH,20030301,200303,6.46,6.02,6.63,5.67,240346.24,148185.58,20030303,20030331,-0.06811145510835914
600654.SH,20030401,200304,6.08,5.7,6.69,5.5,570413.53,350884.539,20030401,20030430,-0.0531561461794019
600654.SH,20030501,200305,5.69,6.15,6.25,5.28,390140.97000000003,232603.45799999998,20030512,20030530,0.07894736842105265
600654.SH,20030601,200306,6.15,6.17,6.85,6.0,713806.41,455738.977,20030602,20030630,0.003252032520325132
600654.SH,20030701,200307,6.17,6.16,6.72,6.1,591496.22,379476.943,20030701,20030731,-0.0016207455429497752
600654.SH,20030801,200308,6.14,5.79,6.58,5.75,229188.46,142294.103,20030801,20030829,-0.06006493506493504
600654.SH,20030901,200309,5.8,5.45,6.13,5.4,139711.06999999998,80459.494,20030901,20030930,-0.05872193436960271
600654.SH,20031001,200310,5.43,5.22,5.66,5.02,119578.19000000002,63927.992000000006,20031008,20031031,-0.04220183486238538
600654.SH,20031101,200311,5.16,5.14,5.4,4.61,412331.48,209047.117,20031103,20031128,-0.01532567049808431
600654.SH,20031201,200312,5.13,5.06,5.7,4.78,530921.5399999999,280502.352,20031201,20031231,-0.015564202334630406
600654.SH,20040101,200401,5.15,5.72,6.08,5.09,914899.7799999999,518481.983,20040102,20040130,0.1304347826086958
600654.SH,20040201,200402,5.75,6.31,6.62,5.67,1170623.3,726224.14,20040202,20040227,0.10314685314685312
600654.SH,20040301,200403,6.31,6.48,6.88,6.0,1147852.1099999999,742305.1860000001,20040301,20040331,0.02694136291600646
600654.SH,20040401,200404,6.5,6.04,6.8,5.95,627031.7100000001,403911.87,20040401,20040430,-0.06790123456790131
600654.SH,20040501,200405,6.04,5.67,6.1,5.5,140152.01,81119.67300000001,20040510,20040531,-0.0612582781456954
600654.SH,20040601,200406,5.67,4.89,5.74,4.85,150865.1,79528.826,20040601,20040630,-0.13756613756613756
600654.SH,20040701,200407,4.9,3.75,5.21,3.72,146209.46,69659.769,20040701,20040730,-0.2331288343558282
600654.SH,20040801,200408,3.75,3.56,3.92,3.4,170742.27,63030.20900000001,20040802,20040831,-0.05066666666666664
600654.SH,20040901,200409,3.58,3.8,4.3,3.43,529038.21,209743.939,20040901,20040930,0.0674157303370786
600654.SH,20041001,200410,3.8,3.47,4.08,3.4,211877.82,79355.282,20041008,20041029,-0.08684210526315783
600654.SH,20041101,200411,3.44,4.13,4.96,3.34,2625889.1100000003,1157539.2149999999,20041101,20041130,0.19020172910662825
600654.SH,20041201,200412,4.1,3.52,4.82,3.46,1764956.25,749116.0350000001,20041201,20041231,-0.14769975786924938
600654.SH,20050101,200501,3.52,3.62,4.2,3.52,793564.24,307612.78099999996,20050104,20050131,0.02840909090909083
600654.SH,20050201,200502,3.63,4.11,4.24,3.63,633686.32,252907.178,20050201,20050228,0.1353591160220995
600654.SH,20050301,200503,4.09,3.47,4.14,3.39,476183.19,182709.112,20050301,20050331,-0.15571776155717765
600654.SH,20050401,200504,3.47,3.01,3.89,2.88,461108.59,158001.39500000002,20050401,20050429,-0.13256484149855918
600654.SH,20050501,200505,3.05,3.05,3.21,2.93,233668.06000000003,72187.09799999998,20050509,20050531,0.013289036544850585
