,return,VaR_RM,VaR_GN,VaR_HS,VaR_EVT
0,1.5747778280137403,0.0,0.0,0.0,0.0
1,-0.4939178844545644,0.0,0.0,0.0,0.0
2,-0.5084430470876811,0.0,0.0,0.0,0.0
3,0.515770352541356,0.0,0.0,0.0,0.0
4,-1.6692007112195206,0.0,0.0,0.0,0.0
5,0.43739579828159236,0.0,0.0,0.0,0.0
6,0.6135813063557372,0.0,0.0,0.0,0.0
7,0.2268713871519168,0.0,0.0,0.0,0.0
8,-1.294505746250163,0.0,0.0,0.0,0.0
9,-3.0807797825087135,0.0,0.0,0.0,0.0
10,0.08564086866709175,0.0,0.0,0.0,0.0
11,1.796913803106115,0.0,0.0,0.0,0.0
12,-2.9600658063125174,0.0,0.0,0.0,0.0
13,1.3959943713207856,0.0,0.0,0.0,0.0
14,-0.7234904726346691,0.0,0.0,0.0,0.0
15,-0.6807203897859715,0.0,0.0,0.0,0.0
16,1.1652774531738075,0.0,0.0,0.0,0.0
17,1.478087226734548,0.0,0.0,0.0,0.0
18,0.13086390206149545,0.0,0.0,0.0,0.0
19,1.368989840938717,0.0,0.0,0.0,0.0
20,0.2957609192102417,0.0,0.0,0.0,0.0
21,-0.8934166127595233,0.0,0.0,0.0,0.0
22,1.5771500759669266,0.0,0.0,0.0,0.0
23,0.32468417898234847,0.0,0.0,0.0,0.0
24,2.507997567178588,0.0,0.0,0.0,0.0
25,0.003552721963195893,0.0,0.0,0.0,0.0
26,0.8469374613159886,0.0,0.0,0.0,0.0
27,0.10487348120422624,0.0,0.0,0.0,0.0
28,-0.9326698069371808,0.0,0.0,0.0,0.0
29,1.1129671996182644,0.0,0.0,0.0,0.0
30,-2.6516119949445915,0.0,0.0,0.0,0.0
31,0.24896176828388406,0.0,0.0,0.0,0.0
32,0.5562927007394691,0.0,0.0,0.0,0.0
33,-0.0013200934904311623,0.0,0.0,0.0,0.0
34,0.9159728459379401,0.0,0.0,0.0,0.0
35,0.47620503066534425,0.0,0.0,0.0,0.0
36,-0.1752868060676427,0.0,0.0,0.0,0.0
37,-0.3723710143050063,0.0,0.0,0.0,0.0
38,1.3456521000873245,0.0,0.0,0.0,0.0
39,1.8154862763963386,0.0,0.0,0.0,0.0
40,0.12444647364784345,0.0,0.0,0.0,0.0
41,0.07370758815401501,0.0,0.0,0.0,0.0
42,-1.510643150423796,0.0,0.0,0.0,0.0
43,-0.7926451874047835,0.0,0.0,0.0,0.0
44,0.1304964927125951,0.0,0.0,0.0,0.0
45,-1.4183244171595888,0.0,0.0,0.0,0.0
46,1.1857919711137477,0.0,0.0,0.0,0.0
47,-1.1498209588046926,0.0,0.0,0.0,0.0
48,0.330382659174866,0.0,0.0,0.0,0.0
49,0.07740685043353679,0.0,0.0,0.0,0.0
50,0.34332638597636134,0.0,0.0,0.0,0.0
51,0.9999028365824003,0.0,0.0,0.0,0.0
52,-0.060082954278950496,0.0,0.0,0.0,0.0
53,1.0501537977069653,0.0,0.0,0.0,0.0
54,0.20768836576152694,0.0,0.0,0.0,0.0
55,-0.872696289142727,0.0,0.0,0.0,0.0
56,-0.0779864520316309,0.0,0.0,0.0,0.0
57,-0.9402025315013773,0.0,0.0,0.0,0.0
58,1.3332013265801912,0.0,0.0,0.0,0.0
59,1.137600079455936,0.0,0.0,0.0,0.0
60,0.21796336934656324,0.0,0.0,0.0,0.0
61,0.7324397219932166,0.0,0.0,0.0,0.0
62,-0.2403860417306447,0.0,0.0,0.0,0.0
63,-0.04556498424754807,0.0,0.0,0.0,0.0
64,0.9562033978737006,0.0,0.0,0.0,0.0
65,-0.25481576090271574,0.0,0.0,0.0,0.0
66,0.2590118466109459,0.0,0.0,0.0,0.0
67,0.22276242030034865,0.0,0.0,0.0,0.0
68,-1.9249088072207599,0.0,0.0,0.0,0.0
69,0.2662637656074551,0.0,0.0,0.0,0.0
70,0.6507135920392315,0.0,0.0,0.0,0.0
71,-0.535051966470057,0.0,0.0,0.0,0.0
72,-1.525131863407836,0.0,0.0,0.0,0.0
73,-0.8797583542907716,0.0,0.0,0.0,0.0
74,-0.46289644960681997,0.0,0.0,0.0,0.0
75,-1.3200816836889118,0.0,0.0,0.0,0.0
76,0.8439049110157804,0.0,0.0,0.0,0.0
77,0.7076711614228515,0.0,0.0,0.0,0.0
78,-2.2825641022981458,0.0,0.0,0.0,0.0
79,0.22260488163752257,0.0,0.0,0.0,0.0
80,-0.29698659798595983,0.0,0.0,0.0,0.0
81,0.29893616546052826,0.0,0.0,0.0,0.0
82,0.6307049735807979,0.0,0.0,0.0,0.0
83,-0.24987655999000324,0.0,0.0,0.0,0.0
84,-1.3736393864737906,0.0,0.0,0.0,0.0
85,0.9430502949438591,0.0,0.0,0.0,0.0
86,-0.7679626449352384,0.0,0.0,0.0,0.0
87,0.12999314333166367,0.0,0.0,0.0,0.0
88,0.6985565501552493,0.0,0.0,0.0,0.0
89,-0.4604406509136183,0.0,0.0,0.0,0.0
90,-0.038999425646224495,0.0,0.0,0.0,0.0
91,-2.9787248611628847,0.0,0.0,0.0,0.0
92,-0.27114806949377623,0.0,0.0,0.0,0.0
93,-0.9190819047676158,0.0,0.0,0.0,0.0
94,-0.1903521906692518,0.0,0.0,0.0,0.0
95,-0.9760520666310057,0.0,0.0,0.0,0.0
96,-0.13241494109887952,0.0,0.0,0.0,0.0
97,1.3619343429692066,0.0,0.0,0.0,0.0
98,0.0036449498130863844,0.0,0.0,0.0,0.0
99,-1.4091897837920975,0.0,0.0,0.0,0.0
100,0.8407248148934343,0.0,0.0,0.0,0.0
