ts_code,trade_date,year_month,open,close,high,low,vol,amount,first_day,last_day,monthly_return
600754.SH,20000101,200001,8.48,8.39,9.55,8.11,202806.0,177996.894,20000104,20000128,0.0
600754.SH,20000201,200002,9.23,13.18,14.09,9.0,714230.0,856127.658,20000214,20000229,0.570917759237187
600754.SH,20000301,200003,13.3,12.5,13.49,10.7,380889.0,466778.302,20000301,20000331,-0.05159332321699539
600754.SH,20000401,200004,12.8,11.95,12.98,11.5,164918.0,201244.952,20000403,20000428,-0.04400000000000004
600754.SH,20000501,200005,12.1,11.9,12.28,10.8,72561.0,85155.02,20000508,20000531,-0.004184100418409997
600754.SH,20000601,200006,12.14,11.85,12.83,11.75,116681.0,142500.854,20000601,20000630,-0.004201680672269004
600754.SH,20000701,200007,11.8,12.15,12.18,11.19,66962.0,78660.52399999999,20000703,20000731,0.025316455696202667
600754.SH,20000801,200008,12.28,12.1,13.78,11.6,250371.0,320350.074,20000801,20000831,-0.004115226337448652
600754.SH,20000901,200009,12.08,11.56,13.15,11.4,118551.98999999999,148244.96699999998,20000901,20000929,-0.044628099173553704
600754.SH,20001001,200010,11.58,11.97,12.2,11.42,48897.0,57961.391,20001009,20001031,0.035467128027681705
600754.SH,20001101,200011,11.92,13.5,14.43,11.92,365990.15,489816.068,20001101,20001130,0.1278195488721805
600754.SH,20001201,200012,13.68,12.53,15.28,12.3,269299.04,376151.637,20001201,20001229,-0.07185185185185194
600754.SH,20010101,200101,12.2,11.43,13.09,11.05,137634.97,166941.781,20010102,20010119,-0.08778930566640064
600754.SH,20010201,200102,11.48,11.22,11.77,10.52,110318.87999999999,124104.68800000001,20010205,20010228,-0.01837270341207342
600754.SH,20010301,200103,11.23,12.28,12.6,11.08,303511.94000000006,370065.70999999996,20010301,20010330,0.0944741532976825
600754.SH,20010401,200104,12.28,12.82,13.9,12.15,539773.6500000001,702769.8369999999,20010402,20010430,0.043973941368078195
600754.SH,20010501,200105,12.85,14.35,14.65,12.85,451982.27,633969.631,20010508,20010531,0.11934477379095165
600754.SH,20010601,200106,14.4,13.09,14.65,12.75,230647.13,317242.70600000006,20010601,20010629,-0.08780487804878045
600754.SH,20010701,200107,13.09,11.43,13.2,11.4,94667.87,119385.95099999999,20010702,20010731,-0.12681436210847974
