ts_code,trade_date,year_month,open,close,high,low,vol,amount,first_day,last_day,monthly_return
600354.SH,20040101,200401,8.73,9.68,11.45,8.6,912711.49,890350.045,20040115,20040130,0.0
600354.SH,20040201,200402,9.97,9.46,11.1,9.11,1233111.16,1277725.111,20040202,20040227,-0.022727272727272596
600354.SH,20040301,200403,9.48,10.56,11.66,9.19,1241071.1300000001,1311748.4519999998,20040301,20040331,0.11627906976744184
600354.SH,20040401,200404,10.56,8.24,11.56,7.68,1072609.59,1076655.315,20040401,20040430,-0.21969696969696972
600354.SH,20040501,200405,8.39,7.41,8.4,6.95,253586.21000000002,194296.76,20040510,20040531,-0.10072815533980584
600354.SH,20040601,200406,7.4,6.1,8.19,6.07,386811.63,285257.06299999997,20040601,20040630,-0.17678812415654532
600354.SH,20040701,200407,6.1,5.63,6.64,5.51,206709.69000000003,125811.45899999999,20040701,20040730,-0.07704918032786878
600354.SH,20040801,200408,5.63,6.2,6.48,5.51,347957.76,208874.937,20040802,20040831,0.10124333925399642
600354.SH,20040901,200409,6.16,6.32,7.34,6.03,549839.8299999998,370961.23799999995,20040901,20040930,0.019354838709677358
600354.SH,20041001,200410,6.32,5.11,6.87,4.91,214041.28,122888.669,20041008,20041029,-0.19145569620253167
600354.SH,20041101,200411,5.1,5.24,5.49,4.71,300819.76,155183.37300000002,20041101,20041130,0.02544031311154593
600354.SH,20041201,200412,5.24,4.85,5.78,4.85,292908.27,156571.34199999998,20041201,20041231,-0.07442748091603069
600354.SH,20050101,200501,4.95,3.93,4.96,3.92,119838.09000000001,54634.931,20050104,20050131,-0.18969072164948442
600354.SH,20050201,200502,3.93,4.97,5.08,3.9,218518.21000000002,99744.201,20050201,20050225,0.2646310432569974
600354.SH,20050301,200503,4.9,4.04,5.21,3.92,324821.02,153754.30299999996,20050301,20050331,-0.18712273641851107
600354.SH,20050401,200504,4.02,3.22,4.35,3.04,238404.75000000003,90663.29999999999,20050401,20050429,-0.20297029702970293
600354.SH,20050501,200505,3.25,3.17,3.3,2.86,126231.00999999998,39087.93199999999,20050509,20050531,-0.015527950310559091
600354.SH,20050601,200506,3.16,3.01,3.6,3.0,219716.83000000002,72171.967,20050601,20050630,-0.050473186119873836
600354.SH,20050701,200507,3.02,2.69,3.03,2.32,164858.08,43161.081,20050701,20050729,-0.1063122923588039
600354.SH,20050801,200508,2.69,3.21,3.54,2.68,571092.4700000001,175121.235,20050801,20050831,0.19330855018587356
600354.SH,20050901,200509,3.2,3.23,3.68,3.02,476834.56,161117.684,20050901,20050930,0.006230529595015577
600354.SH,20051001,200510,3.28,2.72,3.85,2.55,865073.71,301230.258,20051010,20051031,-0.1578947368421052
600354.SH,20051101,200511,2.67,2.7,2.96,2.56,353683.62,98046.18299999999,20051101,20051130,-0.007352941176470562
600354.SH,20051201,200512,2.68,2.75,2.81,2.41,244902.7,65475.842,20051201,20051230,0.01851851851851838
600354.SH,20060101,200601,2.75,2.69,2.96,2.59,269863.27,76601.565,20060104,20060125,-0.021818181818181848
600354.SH,20060201,200602,2.66,3.43,3.56,2.66,542795.17,169277.72999999998,20060206,20060228,0.275092936802974
600354.SH,20060301,200603,3.43,3.55,3.82,3.18,646740.52,226083.047,20060301,20060331,0.03498542274052463
600354.SH,20060401,200604,3.55,4.77,4.82,3.27,582582.79,233932.95800000004,20060403,20060428,0.3436619718309859
600354.SH,20060501,200605,4.81,5.94,6.0,4.81,329267.1,182624.039,20060508,20060512,0.2452830188679247
600354.SH,20060601,200606,5.35,6.13,6.87,4.68,904311.1799999999,528764.74,20060613,20060630,0.03198653198653201
