date,801010.SI_excess_return,801020.SI_excess_return,801030.SI_excess_return,801040.SI_excess_return,801050.SI_excess_return,801080.SI_excess_return,801110.SI_excess_return,801120.SI_excess_return,801180.SI_excess_return,801150.SI_excess_return
2018-01-31,-0.0064876273767267845,0.10946615515326474,-0.011708684422657475,0.1548169268127959,0.09713843397209354,-0.0639369756941578,0.0422262678188699,0.27852770481605926,0.17739354325388557,0.2225642556665708
2018-02-28,-0.008940348478845297,0.11179536961059933,-0.009874066228094835,0.15724152752252585,0.09568681725735573,-0.05818786822009919,0.04383163600565054,0.27529576299634506,0.170113783905544,0.22303738562901865
2018-03-30,0.00882637603787774,0.1190773698985641,-0.01896747418431033,0.15079416354253472,0.09787458141532412,-0.05458727653412604,0.03960916863562225,0.2447660310271469,0.18423292933116597,0.22837413083020053
2018-04-27,0.023104922256145077,0.11976070751706092,-0.027940621820859157,0.14576459395497854,0.09895245097074368,-0.04824444425396213,0.032170631758189516,0.2536187896636828,0.1855614908400829,0.21725147911393794
2018-05-31,0.152842275117818,0.12078411681828105,0.03639511813842128,0.12995971812631624,0.04546185911351075,0.011066723001860845,0.06499149229729301,0.12041451541773052,0.13154508948967325,0.18653909247909484
2018-06-29,0.15483779657145313,0.1491049049254789,0.02808704121451641,0.13527668104309032,0.027003130611134712,0.014802891151936975,0.06076933005790475,0.12302399216382975,0.13215863773901804,0.17493559452163532
2018-07-31,0.15844088903987097,0.1541834683819694,0.05171807005071216,0.14408290006954694,0.019450483473916036,0.01900587000818299,0.05066005443186988,0.12584360591486354,0.1285712729762044,0.14804338565286468
2018-08-31,0.1591924014784588,0.18332585942382962,0.05902885896970439,0.13605868604367666,0.005380605839632131,0.02590498708475794,0.038788425568555496,0.11158005540012139,0.13290677008074836,0.14783335011051435
2018-09-28,0.1825824466280137,0.1825085007449525,0.04167265984381352,0.16047367986192995,0.00048134209332880134,0.019983405926735726,0.0640092815122571,0.10988458734351558,0.11462118659325593,0.12378290945219761
2018-10-31,0.21452523837349546,0.18457883577635825,0.04513008904481319,0.15050506332280744,0.0024371382207050082,0.01838599883458772,0.07297746774702962,0.0734102332763551,0.1199398503039818,0.11811008509986609
2018-11-30,0.21248354610027642,0.1904557620152374,0.07576069651267359,0.13784955773501983,-0.0006934154930484243,0.029890675195117775,0.0788054773384298,0.06179291422747632,0.11536326051969725,0.09829152584911899
2018-12-28,0.20266807597290626,0.16021727087494714,0.08173598858012199,0.12902080864517407,0.0048979430093767425,0.020665946102507847,0.08385850351184299,0.06869849827210142,0.1694210744643253,0.07881589056669641
2019-01-31,0.19904140717947932,0.15753912110309481,0.09157998857756341,0.12654008343118617,0.00712867037310173,0.02083986919922371,0.0771019688362673,0.06715543329931434,0.17220255072755752,0.08087090727321183
2019-02-28,0.1840506574113988,0.16709446260756888,0.09898448339573718,0.12178356763030307,0.013377411152303877,-0.005440410839317018,0.08462568512860652,0.07869503894164143,0.1872627938900766,0.06956631068168123
2019-03-29,0.12331099209437779,0.2236279191523376,0.061747038698668155,0.1295475716510287,0.028787737575206196,0.010644259152476285,0.1085687981059576,0.06260663657096921,0.1603029897545012,0.09085605724447787
2019-04-30,0.10473235987133223,0.23731050262267395,0.06654256922954682,0.12578278017154493,0.030983911775292514,0.012564042709717692,0.1046565909292736,0.0629759643851791,0.16131436413761946,0.0931369141678206
2019-05-31,0.1010035771723149,0.2636037378657472,0.07643448618236393,0.12385265807037116,0.01811325862474676,0.003487570709238245,0.09906720260064739,0.060652486773355885,0.1574223051002417,0.09636271690097326
2019-06-28,0.06097313928309418,0.25957511022763124,0.09344966294583879,0.11105733946991606,0.026487837082206783,0.02036818025431024,0.09511246858913872,0.07500663761014212,0.1646661708239534,0.09330345371376858
2019-07-31,0.06269958898809558,0.26004234280053107,0.09372391812481878,0.10819535929775376,0.024223355811835996,0.025403585569278166,0.0948376907936127,0.07291131298841444,0.16818152242211204,0.08978132320354751
2019-08-30,0.05982000629652909,0.253077101645395,0.08361499298088737,0.11126663753921301,0.021513427276108582,0.029615179912736378,0.08071482015689263,0.07491902429728692,0.19428435846438108,0.09117445143057018
2019-09-30,0.04177152706860651,0.2647796081073637,0.11438367152350942,0.10118585147310935,0.010166282880627722,0.034671675226663354,0.0935670847214369,0.05901670037192093,0.1920295234768471,0.08842807514991491
2019-10-31,0.03775356277639566,0.2716489682533033,0.11550548699303664,0.0986951525926206,0.010714277783818088,0.0358571183669074,0.09153133480989456,0.06029839055720396,0.19093067007136194,0.08706503779545763
2019-11-29,0.04430480997447944,0.2889555815685638,0.10324767064464879,0.09317561399427365,0.006716588691469735,0.03820043612512289,0.07919082062109212,0.06816061890202893,0.18815242457195147,0.0898954349063702
2019-12-31,0.04909780278397585,0.29623921002012255,0.09318170095830786,0.09831339256510135,6.844812510384436e-05,0.03883838281778035,0.0762132458222361,0.07172717096466419,0.18030329065889472,0.09601735528381422
2020-01-23,0.05004080166309699,0.29339934422135827,0.10919043207961943,0.09193256976130593,-0.0026236364668647434,0.04137868427480254,0.07564327472330223,0.06793940734738024,0.1773401117592226,0.09575901063677739
2020-02-28,0.04340602513731856,0.2969511202182482,0.10646324224457493,0.09287976121678387,-0.0014003435384693941,0.039200595610781375,0.07901372431192555,0.06994248203236153,0.1769618585968764,0.09658153416959958
2020-03-31,0.04333668951883329,0.2945083052910529,0.11131351139749213,0.09276102351393756,0.0005769718952541537,0.0334701638076553,0.0779646286368405,0.07012408257522246,0.17753297781954447,0.09841164554416615
