date,801010.SI_excess_return,801020.SI_excess_return,801030.SI_excess_return,801040.SI_excess_return,801050.SI_excess_return,801080.SI_excess_return,801110.SI_excess_return,801120.SI_excess_return,801180.SI_excess_return,801150.SI_excess_return
2018-01-31,0.04083936336246349,0.2163931553032276,0.04233164839882586,0.12499449156693808,0.056138589429490696,-0.04032452953574081,0.13193240557351357,0.15180788364602577,0.1261016190892743,0.08728650310760239
2018-02-28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-03-30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-04-27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-05-31,0.5636749027932733,0.37756676189751553,0.2668645622235736,0.26623289617727314,0.04803116572093632,0.022396757566914706,0.12160959576031513,0.32747475862940534,0.2651188059264733,0.22731671027687297
2018-06-29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-07-31,0.15359193101412627,0.3174874835774668,0.16357859044335377,0.03470049098987005,0.014409342288496219,0.00990972272260969,0.05587603015352105,0.14108105958844752,0.09246124259162303,0.11399074453999747
2018-08-31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-09-28,0.11450057620948209,0.03141763355754973,0.019923240844437834,0.11142435042154217,0.026543553135459426,0.013249823807988354,0.08851326504320635,0.09895251244380257,-0.017600571259159578,0.06483101665893615
2018-10-31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-11-30,0.17088082046005146,0.4212994515617688,0.12123490968589334,0.07520689429400271,0.02960435394148976,0.03746428120523596,0.06223471202110886,0.06374047185405071,0.0640203454567817,0.0008686631214251533
2018-12-28,0.11108276473038167,0.18486083976126308,0.1212869226109276,0.08480683872301645,0.024835855117135732,0.022618656485592012,0.10300950273017734,0.044563103688696516,0.11821247680882965,0.04173513289765912
2019-01-31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-02-28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-03-29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-04-30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-05-31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-06-28,0.03522751591601904,0.1909932089110749,0.18586286355000298,0.08192062126752979,0.023547674529305257,0.009321724577940334,0.08976555550949107,0.03817198604070966,0.12296928323919525,0.033315491360845884
2019-07-31,0.049909256577258046,0.29473170435448787,0.23452749915280566,0.08747983852118218,0.03545871009522126,0.009988471487907685,0.11498145876729539,0.042944464226538276,0.12956111157894729,0.03991101189495785
2019-08-30,0.05634559881125947,0.32197363760308795,0.20502718354904292,0.08589086065674562,0.02723421914819349,0.015614437311143606,0.1359054316474737,0.05030664638918947,0.16605279856612465,0.0553373538367711
2019-09-30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-10-31,0.05262274236862427,0.35149407333631827,0.2508654739315075,0.09258030954774936,0.03375424639036567,0.017897754887177465,0.1321474340809769,0.036228865405524405,0.20034433750831337,0.04186414907516674
2019-11-29,0.06256267260608323,0.46316129106782966,0.13504174414810544,0.10451762758760025,0.029030151990805247,0.019228510989906612,0.14546080449622417,0.04396580122189882,0.2668578994835448,0.05585241951359435
2019-12-31,0.06207522696271744,0.40471646767844793,0.19881311885438147,0.11507700345922214,0.02149112373576951,0.011463592595495127,0.11289850609859106,0.04212655997557835,0.19604399360198527,0.057724802549759764
2020-01-23,0.05316415781282505,0.23395230155181745,0.18594510252903224,0.0988269570042799,0.018613735934775076,0.007808251331840533,0.11610303163167887,0.03380915644250815,0.14054830511114458,0.06028057745735669
2020-02-28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-03-31,0.08305812661548367,0.1689810903710426,0.1299752725215103,0.14319266515210216,0.0576984458974151,0.012955124711591822,0.12373903360012913,0.07166702326838825,0.10935527399270668,0.09937794386963011
2020-04-30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-05-29,0.13401290213908765,0.35572309851208983,0.25396762136943735,0.09519827949326667,0.018382065172102606,0.00868918954739007,0.12460787479782012,0.04273666203027644,0.2823253054668252,0.039555989840501515
2020-06-30,0.07415756093451113,0.25575009252947284,0.2014060591956729,0.0822664525132149,0.028144146744402007,0.004805878119814407,0.11423732860911423,0.021366826422179776,0.1313408585993823,0.04400272923187021
2020-07-31,0.09544336760099316,0.11483992731738768,0.10251018788464496,0.11644815389561725,0.09436200555030222,0.07419425764162403,0.10810772145984232,0.08783046490105,0.11369974229854808,0.09256417144999034
2020-08-31,0.12153194528946792,0.3634587816185234,0.38563828018922813,0.17719148551939015,0.07996694825568615,0.02010811713588537,0.23092942498618813,0.07547188908231756,0.4883625737610325,0.086849867069465
2020-09-30,0.0602545104877663,0.1468841570617769,0.1727358013490629,0.12331916829111832,0.05390329802810355,0.012458280891394223,0.08789149569292933,0.022641262535216804,0.10522258312585109,0.03436400112849468
2020-10-30,0.05261011969079914,0.2659838162002761,0.22099856148519348,0.0919637576694301,0.03789937402811161,0.007380745064233902,0.11876156095273968,0.03404825484916115,0.11963080884338359,0.05186970582479214
